year;qrt;region;area_type;tran_count;area_total;area_mean;eur_total;eur_min;eur_max;em_min;em_max;em_median;em_mean;em_sd
2005;1;Lasnamäe linnaosa;10-29,99;34;625,60;18,40;377 079;1 023;24 926;68,87;1 079,79;578,93;583,65;258,06
2005;1;Lasnamäe linnaosa;30-40,99;185;6 225,90;33,65;4 485 689;2 237;35 791;68,41;1 024,92;754,78;722,07;152,14
2005;1;Lasnamäe linnaosa;41-54,99;182;8 933,70;49,09;5 729 697;2 282;46 336;52,83;942,29;690,47;642,65;181,19
2005;1;Lasnamäe linnaosa;55-69,99;240;15 417,40;64,24;9 104 706;639;69 664;10,63;1 042,87;616,43;590,90;169,70
2005;1;Lasnamäe linnaosa;70-249,99;66;5 569,20;84,38;3 370 333;11 396;170 005;110,85;1 115,52;575,66;608,02;196,21
2005;1;Mustamäe linnaosa;10-29,99;14;393,40;28,10;323 177;9 906;32 915;332,43;1 100,82;846,34;815,90;194,44
2005;1;Mustamäe linnaosa;30-40,99;19;611,70;32,19;483 723;12 694;35 151;423,15;934,88;809,01;792,45;119,75
2005;1;Mustamäe linnaosa;41-54,99;161;7 242,70;44,99;5 073 968;2 582;51 768;59,92;1 032,42;744,73;700,32;198,74
2005;1;Mustamäe linnaosa;55-69,99;104;6 406,20;61,60;4 339 250;7 523;69 344;134,58;1 013,80;693,33;674,69;160,77
2005;1;Mustamäe linnaosa;70-249,99;11;870,80;79,16;567 444;22 916;73 498;297,61;949,59;734,12;651,47;206,60
2005;1;Nõmme linnaosa;10-29,99;18;324,50;18,03;255 001;2 237;27 162;192,84;1 694,35;741,45;755,92;334,93
2005;1;Nõmme linnaosa;30-40,99;28;1 048,80;37,46;942 973;3 515;49 532;96,84;1 226,03;945,14;891,74;195,10
2005;1;Nõmme linnaosa;41-54,99;39;1 840,70;47,20;1 341 943;1 598;63 045;36,73;1 318,93;753,61;726,05;279,56
2005;1;Nõmme linnaosa;55-69,99;29;1 730,80;59,68;1 592 533;10 572;76 694;167,02;1 326,89;993,24;924,27;242,95
2005;1;Nõmme linnaosa;70-249,99;41;3 980,20;97,08;3 088 001;639;171 342;3,79;1 236,13;983,10;826,28;298,31
2005;1;Pirita linnaosa;30-40,99;1;35,20;35,20;***;***;***;***;***;***;***;***
2005;1;Pirita linnaosa;41-54,99;3;140,30;46,77;***;***;***;***;***;***;***;***
2005;1;Pirita linnaosa;55-69,99;11;724,90;65,90;740 183;57 875;89 476;836,35;1 438,53;948,69;1 024,57;190,40
2005;1;Pirita linnaosa;70-249,99;46;4 587,70;99,73;4 343 899;15 090;208 781;120,24;1 538,19;885,34;938,37;263,74
2005;1;Põhja-Tallinna linnaosa;10-29,99;55;1 222,50;22,23;842 465;3 196;43 140;107,23;1 732,54;710,13;680,06;292,10
2005;1;Põhja-Tallinna linnaosa;30-40,99;67;2 459,50;36,71;1 785 540;3 802;51 129;100,84;1 482,01;735,56;732,05;240,23
2005;1;Põhja-Tallinna linnaosa;41-54,99;101;4 728,60;46,82;3 233 716;1 314;74 233;29,07;1 433,08;696,47;685,31;241,03
2005;1;Põhja-Tallinna linnaosa;55-69,99;46;2 806,80;61,02;1 831 411;10 226;78 142;153,77;1 268,53;702,80;649,87;235,26
2005;1;Põhja-Tallinna linnaosa;70-249,99;25;2 262,50;90,50;1 273 260;1 498;91 649;20,52;929,56;656,35;572,75;283,86
2005;2;Haabersti linnaosa;10-29,99;1;24,10;24,10;***;***;***;***;***;***;***;***
2005;2;Haabersti linnaosa;30-40,99;42;1 388,90;33,07;1 090 645;4 730;39 625;144,66;1 049,01;846,34;784,08;219,58
2005;2;Haabersti linnaosa;41-54,99;69;3 493,30;50,63;2 726 431;11 571;57 520;219,57;1 069,34;802,24;779,27;184,74
2005;2;Haabersti linnaosa;55-69,99;95;6 207,10;65,34;4 501 168;7 669;84 363;119,83;1 233,38;740,44;725,37;214,57
2005;2;Haabersti linnaosa;70-249,99;30;2 480,20;82,67;***;***;***;***;***;***;***;***
2005;2;Kesklinna linnaosa;10-29,99;83;1 896,00;22,84;2 033 570;5 369;63 912;196,85;3 531,03;1 010,22;1 068,13;471,85
2005;2;Kesklinna linnaosa;30-40,99;139;4 933,20;35,49;5 420 157;3 707;102 259;95,79;2 734,19;1 078,92;1 100,68;385,26
2005;2;Kesklinna linnaosa;41-54,99;187;9 041,00;48,35;11 369 377;10 801;153 388;217,63;2 905,08;1 173,73;1 256,97;477,96
2005;2;Kesklinna linnaosa;55-69,99;164;10 092,80;61,54;12 519 640;8 948;168 797;140,91;2 767,16;1 198,74;1 241,36;469,19
2005;2;Kesklinna linnaosa;70-249,99;175;16 364,38;93,51;20 632 649;9 587;457 863;93,08;3 065,15;1 229,07;1 258,51;503,75
2005;2;Kristiine linnaosa;10-29,99;42;833,90;19,85;703 756;192;31 956;16,11;1 196,85;872,08;820,52;247,40
2005;2;Kristiine linnaosa;30-40,99;64;2 322,90;36,30;2 084 497;6 391;51 577;163,04;1 270,36;894,04;892,18;206,00
2005;2;Kristiine linnaosa;41-54,99;84;3 936,10;46,86;3 453 683;5 432;58 799;115,83;1 275,33;940,28;878,67;220,37
2005;2;Kristiine linnaosa;55-69,99;97;6 042,60;62,29;5 376 990;5 752;82 392;102,53;1 343,15;952,27;888,39;217,98
2005;2;Kristiine linnaosa;70-249,99;71;6 681,50;94,11;6 222 341;38 347;198 296;521,51;1 408,52;965,99;930,03;182,40
2005;2;Lasnamäe linnaosa;10-29,99;46;881,10;19,15;519 291;1 150;24 926;87,88;1 074,38;587,34;561,08;229,32
2005;2;Lasnamäe linnaosa;30-40,99;190;6 396,90;33,67;4 930 615;134;42 182;4,10;1 286,03;820,13;773,23;195,29
2005;2;Lasnamäe linnaosa;41-54,99;243;11 891,84;48,94;8 431 894;1 598;79 250;32,28;1 470,32;740,91;708,84;188,99
2005;2;Lasnamäe linnaosa;55-69,99;312;20 077,00;64,35;13 123 321;3 872;79 250;59,95;1 228,69;667,96;654,39;191,39
2005;2;Lasnamäe linnaosa;70-249,99;86;6 966,10;81,00;4 602 105;6 391;109 928;79,99;1 377,54;657,72;666,52;242,08
2005;2;Mustamäe linnaosa;10-29,99;17;461,60;27,15;396 764;5 432;28 760;445,29;968,36;890,04;835,41;157,21
2005;2;Mustamäe linnaosa;30-40,99;26;874,70;33,64;769 349;24 286;47 295;760,85;1 215,80;879,19;879,61;99,53
2005;2;Mustamäe linnaosa;41-54,99;181;8 067,40;44,57;6 209 797;1 906;51 129;43,72;1 123,72;808,08;769,24;181,31
2005;2;Mustamäe linnaosa;55-69,99;156;9 593,70;61,50;6 807 438;6 391;67 427;99,60;1 050,42;716,18;708,09;172,54
2005;2;Mustamäe linnaosa;70-249,99;7;572,40;81,77;469 988;50 426;80 848;571,08;1 094,38;784,63;827,15;191,87
2005;2;Nõmme linnaosa;10-29,99;16;337,50;21,09;319 878;4 793;63 912;301,47;2 151,91;783,77;883,74;419,91
2005;2;Nõmme linnaosa;30-40,99;17;587,90;34,58;488 055;7 350;44 738;238,63;1 099,40;852,16;815,51;251,68
2005;2;Nõmme linnaosa;41-54,99;38;1 797,02;47,29;1 546 941;9 435;79 250;179,02;1 704,31;833,01;866,19;281,56
2005;2;Nõmme linnaosa;55-69,99;34;2 074,30;61,01;1 927 365;3 121;95 867;47,08;1 661,48;1 023,33;938,65;365,36
2005;2;Nõmme linnaosa;70-249,99;33;3 193,00;96,76;2 907 908;29 900;146 997;359,81;1 363,01;945,17;925,97;203,17
2005;2;Pirita linnaosa;30-40,99;2;76,50;38,25;***;***;***;***;***;***;***;***
2005;2;Pirita linnaosa;41-54,99;5;244,80;48,96;***;***;***;***;***;***;***;***
2005;2;Pirita linnaosa;55-69,99;33;2 062,20;62,49;1 928 001;41 615;94 589;756,63;1 538,04;880,00;934,12;146,53
2005;2;Pirita linnaosa;70-249,99;60;6 279,30;104,66;6 393 674;15 819;293 744;186,54;2 297,38;957,66;1 013,00;320,89
2005;2;Põhja-Tallinna linnaosa;10-29,99;82;1 804,20;22,00;1 399 448;2 237;38 986;181,86;1 422,85;759,32;752,92;252,66
2005;2;Põhja-Tallinna linnaosa;30-40,99;77;2 855,10;37,08;2 243 010;6 391;58 032;182,08;1 727,14;797,14;788,67;277,38
2005;2;Põhja-Tallinna linnaosa;41-54,99;134;6 312,30;47,11;4 525 760;4 049;84 363;85,42;1 594,77;719,69;713,90;273,30
2005;2;Põhja-Tallinna linnaosa;55-69,99;53;3 251,70;61,35;2 831 018;3 435;103 824;59,02;1 550,13;808,76;865,24;374,08
2005;2;Põhja-Tallinna linnaosa;70-249,99;29;2 867,00;98,86;1 874 749;2 796;143 482;30,39;2 049,74;669,14;692,39;373,70
2005;3;Haabersti linnaosa;10-29,99;1;24,80;24,80;***;***;***;***;***;***;***;***
2005;3;Haabersti linnaosa;30-40,99;61;2 036,50;33,39;***;***;***;***;***;***;***;***
2005;3;Haabersti linnaosa;41-54,99;101;5 033,60;49,84;4 532 615;383;101 939;7,68;1 860,20;884,43;902,24;331,48
2005;3;Haabersti linnaosa;55-69,99;126;8 213,50;65,19;6 348 724;383;132 936;5,53;1 918,27;778,82;772,81;312,25
2005;3;Haabersti linnaosa;70-249,99;66;6 678,10;101,18;6 806 086;383;236 281;3,92;2 204,28;1 049,47;1 040,44;468,21
2005;3;Kesklinna linnaosa;10-29,99;64;1 467,90;22,94;2 009 650;3 196;191 735;152,90;10 198,67;1 179,99;1 422,42;1 268,29
2005;3;Kesklinna linnaosa;30-40,99;139;5 068,78;36,47;6 836 115;646;191 735;17,95;5 509,63;1 240,74;1 350,55;739,67
2005;3;Kesklinna linnaosa;41-54,99;182;8 904,35;48,93;12 767 476;13 293;191 735;246,16;3 865,62;1 415,91;1 430,29;432,11
2005;3;Kesklinna linnaosa;55-69,99;181;11 099,70;61,32;15 108 005;5 752;191 735;88,90;3 112,58;1 335,77;1 362,60;488,16
2005;3;Kesklinna linnaosa;70-249,99;208;19 685,54;94,64;25 535 264;15 431;575 205;116,26;3 013,12;1 251,10;1 289,52;502,79
2005;3;Kristiine linnaosa;10-29,99;24;519,70;21,65;498 351;3 835;41 543;133,61;1 403,47;965,87;939,69;284,17
