"qtr_year";"region";"total_count";"region_area";"population";"tran_p_ha";"tran_p_pop"
2003-10-01;"Tatari";25;22;2449;1,13636363636364;0,0102082482645978
2003-10-01;"Tiskre";4;139;1940;0,0287769784172662;0,00206185567010309
2003-10-01;"Tondi";9;133;3989;0,0676691729323308;0,002256204562547
2003-10-01;"Tõnismäe";19;22;1460;0,863636363636364;0,013013698630137
2003-10-01;"Torupilli";37;51;3912;0,725490196078431;0,00945807770961145
2003-10-01;"Ülemiste";13;340;1443;0,0382352941176471;0,00900900900900901
2003-10-01;"Ülemistejärve";1;1396;194;0,000716332378223496;0,00515463917525773
2003-10-01;"Uus Maailm";57;65;7677;0,876923076923077;0,00742477530285268
2003-10-01;"Uuslinn";1;22;381;0,0454545454545455;0,0026246719160105
2003-10-01;"Väike-Õismäe";171;218;27150;0,784403669724771;0,00629834254143646
2003-10-01;"Vana-Mustamäe";1;198;2064;0,00505050505050505;0,000484496124031008
2003-10-01;"Vanalinn";23;110;4906;0,209090909090909;0,00468813697513249
2003-10-01;"Veerenni";41;92;4077;0,445652173913043;0,010056414029924
2004-01-01;"Astangu";16;207;3344;0,0772946859903382;0,00478468899521531
2004-01-01;"Haabersti";43;97;822;0,443298969072165;0,0523114355231144
2004-01-01;"Hiiu";9;263;3970;0,0342205323193916;0,00226700251889169
2004-01-01;"Järve";17;105;2957;0,161904761904762;0,00574907000338181
2004-01-01;"Juhkentali";8;130;1374;0,0615384615384615;0,00582241630276565
2004-01-01;"Kadaka";11;281;3791;0,0391459074733096;0,00290160907412292
2004-01-01;"Kadriorg";50;256;5010;0,1953125;0,00998003992015968
2004-01-01;"Kalamaja";35;210;10756;0,166666666666667;0,00325399776868724
2004-01-01;"Karjamaa";23;97;5240;0,237113402061856;0,00438931297709924
2004-01-01;"Kassisaba";18;45;4766;0,4;0,00377675199328577
2004-01-01;"Katleri";45;38;5133;1,18421052631579;0,00876680303915839
2004-01-01;"Keldrimäe";31;35;5268;0,885714285714286;0,00588458618071374
2004-01-01;"Kelmiküla";5;21;1266;0,238095238095238;0,00394944707740916
2004-01-01;"Kitseküla";35;140;4250;0,25;0,00823529411764706
2004-01-01;"Kivimäe";18;222;4809;0,0810810810810811;0,00374298190892077
2004-01-01;"Kompassi";10;16;1982;0,625;0,00504540867810293
