qtr_year;region;total_count;region_area;tran_p_ha
01/01/2017;Karjamaa;48;97;0,494845361
01/01/2017;Kassisaba;22;45;0,488888889
01/01/2017;Katleri;15;38;0,394736842
01/01/2017;Keldrimäe;45;35;1,285714286
01/01/2017;Kelmiküla;38;21;1,80952381
01/01/2017;Kitseküla;47;140;0,335714286
01/01/2017;Kivimäe;10;222;0,045045045
01/01/2017;Kompassi;5;16;0,3125
01/01/2017;Kopli;32;282;0,113475177
01/01/2017;Kose;27;346;0,078034682
01/01/2017;Kurepõllu;22;68;0,323529412
01/01/2017;Kuristiku;46;84;0,547619048
01/01/2017;Laagna;99;136;0,727941176
01/01/2017;Laagri;2;41;0,048780488
01/01/2017;Lepiku;3;162;0,018518519
01/01/2017;Liiva;10;264;0,037878788
01/01/2017;Lilleküla;109;546;0,1996337
01/01/2017;Loopealse;76;57;1,333333333
01/01/2017;Maakri;7;13;0,538461538
01/01/2017;Maarjamäe;8;155;0,051612903
01/01/2017;Mähe;17;282;0,060283688
01/01/2017;Männiku;15;447;0,033557047
01/01/2017;Merivälja;2;163;0,012269939
01/01/2017;Mustakivi;61;116;0,525862069
01/01/2017;Mustamäe;257;441;0,58276644
01/01/2017;Mustjõe;3;179;0,016759777
01/01/2017;Nõmme;12;480;0,025
01/01/2017;Pääsküla;14;661;0,02118003
01/01/2017;Pae;37;58;0,637931034
01/01/2017;Paevälja;1;119;0,008403361
01/01/2017;Paljassaare;1;395;0,002531646
01/01/2017;Pelgulinn;89;238;0,37394958
01/01/2017;Pelguranna;69;100;0,69
01/01/2017;Pikaliiva;33;447;0,073825503
01/01/2017;Pirita;3;173;0,01734104
01/01/2017;Priisle;33;185;0,178378378
01/01/2017;Rahumäe;5;162;0,030864198
01/01/2017;Raua;30;31;0,967741935
01/01/2017;Raudalu;2;180;0,011111111
01/01/2017;Sääse;37;61;0,606557377
01/01/2017;Sadama;99;139;0,712230216
01/01/2017;Seli;48;95;0,505263158
01/01/2017;Sibulaküla;12;13;0,923076923
01/01/2017;Siili;10;26;0,384615385
01/01/2017;Sikupilli;141;135;1,044444444
01/01/2017;Sitsi;11;45;0,244444444
01/01/2017;Sõjamäe;1;747;0,001338688
01/01/2017;Südalinn;4;25;0,16
01/01/2017;Tatari;28;22;1,272727273
01/01/2017;Tiskre;12;139;0,086330935
01/01/2017;Tondi;20;133;0,15037594
01/01/2017;Tõnismäe;8;22;0,363636364
01/01/2017;Torupilli;26;51;0,509803922
01/01/2017;Ülemiste;4;340;0,011764706
01/01/2017;Uus Maailm;43;65;0,661538462
01/01/2017;Väike-Õismäe;106;218;0,486238532
01/01/2017;Vana-Mustamäe;3;198;0,015151515
01/01/2017;Vanalinn;25;110;0,227272727
01/01/2017;V?;3;408;0,007352941
01/01/2017;Veerenni;44;92;0,47826087
01/01/2017;Vismeistri;3;143;0,020979021
01/04/2017;Astangu;37;207;0,178743961
01/04/2017;Haabersti;13;97;0,134020619
01/04/2017;Hiiu;15;263;0,057034221
01/04/2017;Järve;8;105;0,076190476
01/04/2017;Juhkentali;21;130;0,161538462
01/04/2017;Kadaka;47;281;0,167259786
01/04/2017;Kadriorg;74;256;0,2890625
01/04/2017;Kakumäe;6;251;0,023904382
01/04/2017;Kalamaja;113;210;0,538095238
01/04/2017;Karjamaa;37;97;0,381443299
01/04/2017;Kassisaba;23;45;0,511111111
01/04/2017;Katleri;24;38;0,631578947
01/04/2017;Keldrimäe;70;35;2
01/04/2017;Kelmiküla;12;21;0,571428571
01/04/2017;Kitseküla;35;140;0,25
01/04/2017;Kivimäe;1;222;0,004504505
01/04/2017;Kompassi;13;16;0,8125
01/04/2017;Kopli;30;282;0,106382979
01/04/2017;Kose;8;346;0,023121387
01/04/2017;Kurepõllu;16;68;0,235294118
01/04/2017;Kuristiku;24;84;0,285714286
01/04/2017;Laagna;105;136;0,772058824
01/04/2017;Laiaküla;1;159;0,006289308
01/04/2017;Lepiku;3;162;0,018518519
01/04/2017;Liiva;4;264;0,015151515
01/04/2017;Lilleküla;136;546;0,249084249
01/04/2017;Loopealse;20;57;0,350877193
01/04/2017;Maakri;5;13;0,384615385
01/04/2017;Maarjamäe;16;155;0,103225806
01/04/2017;Mähe;28;282;0,09929078
01/04/2017;Männiku;44;447;0,098434004
01/04/2017;M?gu;1;70;0,014285714
01/04/2017;Mustakivi;53;116;0,456896552
01/04/2017;Mustamäe;263;441;0,596371882
01/04/2017;Mustjõe;3;179;0,016759777
01/04/2017;Nõmme;10;480;0,020833333
01/04/2017;Õismäe;2;178;0,011235955
01/04/2017;Pääsküla;25;661;0,037821483
01/04/2017;Pae;42;58;0,724137931
01/04/2017;Paevälja;10;119;0,084033613
01/04/2017;Paljassaare;5;395;0,012658228
01/04/2017;Pelgulinn;88;238;0,369747899
01/04/2017;Pelguranna;78;100;0,78
01/04/2017;Pikaliiva;27;447;0,060402685
01/04/2017;Pirita;2;173;0,011560694
01/04/2017;Priisle;38;185;0,205405405
01/04/2017;Rahumäe;3;162;0,018518519
01/04/2017;Raua;19;31;0,612903226
01/04/2017;Raudalu;4;180;0,022222222
01/04/2017;Sääse;50;61;0,819672131
01/04/2017;Sadama;22;139;0,158273381
01/04/2017;Seli;80;95;0,842105263
01/04/2017;Sibulaküla;11;13;0,846153846
01/04/2017;Siili;14;26;0,538461538
01/04/2017;Sikupilli;103;135;0,762962963
01/04/2017;Sitsi;13;45;0,288888889
01/04/2017;Tatari;18;22;0,818181818
01/04/2017;Tiskre;13;139;0,09352518
01/04/2017;Tondi;33;133;0,248120301
01/04/2017;Tõnismäe;11;22;0,5
01/04/2017;Torupilli;30;51;0,588235294
01/04/2017;Ülemiste;4;340;0,011764706
01/04/2017;ÜlemisteJärve;1;1396;0,000716332
01/04/2017;Uus Maailm;48;65;0,738461538
01/04/2017;Uuslinn;3;22;0,136363636
01/04/2017;Väike-Õismäe;104;218;0,47706422
01/04/2017;Vana-Mustamäe;3;198;0,015151515
01/04/2017;Vanalinn;16;110;0,145454545
01/04/2017;Veerenni;31;92;0,336956522
01/07/2017;Astangu;50;207;0,241545894
01/07/2017;Haabersti;11;97;0,113402062
01/07/2017;Hiiu;5;263;0,019011407
01/07/2017;Järve;8;105;0,076190476
01/07/2017;Juhkentali;28;130;0,215384615
01/07/2017;Kadaka;119;281;0,423487544
01/07/2017;Kadriorg;46;256;0,1796875
01/07/2017;Kakumäe;6;251;0,023904382
01/07/2017;Kalamaja;100;210;0,476190476
01/07/2017;Karjamaa;32;97;0,329896907
01/07/2017;Kassisaba;30;45;0,666666667
01/07/2017;Katleri;29;38;0,763157895
01/07/2017;Keldrimäe;66;35;1,885714286
01/07/2017;Kelmiküla;20;21;0,952380952
01/07/2017;Kitseküla;29;140;0,207142857
01/07/2017;Kivimäe;13;222;0,058558559
01/07/2017;Kompassi;13;16;0,8125
01/07/2017;Kopli;35;282;0,124113475
01/07/2017;Kose;18;346;0,052023121
01/07/2017;Kurepõllu;7;68;0,102941176
01/07/2017;Kuristiku;30;84;0,357142857
01/07/2017;Laagna;85;136;0,625
01/07/2017;Laagri;1;41;0,024390244
01/07/2017;Lepiku;6;162;0,037037037
01/07/2017;Liiva;8;264;0,03030303
01/07/2017;Lilleküla;107;546;0,195970696
01/07/2017;Loopealse;10;57;0,175438596
01/07/2017;Maakri;5;13;0,384615385
01/07/2017;Maarjamäe;9;155;0,058064516
01/07/2017;Mähe;25;282;0,088652482
01/07/2017;Männiku;21;447;0,046979866
01/07/2017;Merivälja;3;163;0,018404908
01/07/2017;M?gu;1;70;0,014285714
01/07/2017;Mustakivi;45;116;0,387931034
01/07/2017;Mustamäe;247;441;0,560090703
01/07/2017;Mustjõe;71;179;0,396648045
01/07/2017;Nõmme;9;480;0,01875
01/07/2017;Õismäe;3;178;0,016853933
01/07/2017;Pääsküla;17;661;0,025718608
01/07/2017;Pae;37;58;0,637931034
01/07/2017;Paevälja;18;119;0,151260504
01/07/2017;Paljassaare;2;395;0,005063291
01/07/2017;Pelgulinn;91;238;0,382352941
01/07/2017;Pelguranna;122;100;1,22
01/07/2017;Pikaliiva;14;447;0,031319911
01/07/2017;Pirita;4;173;0,023121387
01/07/2017;Priisle;31;185;0,167567568
01/07/2017;Rahumäe;5;162;0,030864198
01/07/2017;Raua;23;31;0,741935484
01/07/2017;Raudalu;1;180;0,005555556
01/07/2017;Sääse;87;61;1,426229508
01/07/2017;Sadama;38;139;0,273381295
01/07/2017;Seli;76;95;0,8
01/07/2017;Sibulaküla;9;13;0,692307692
01/07/2017;Siili;11;26;0,423076923
01/07/2017;Sikupilli;85;135;0,62962963
01/07/2017;Sitsi;20;45;0,444444444
01/07/2017;Sõjamäe;2;747;0,002677376
01/07/2017;Südalinn;1;25;0,04
01/07/2017;Tatari;17;22;0,772727273
01/07/2017;Tiskre;11;139;0,079136691
01/07/2017;Tondi;35;133;0,263157895
01/07/2017;Tõnismäe;7;22;0,318181818
01/07/2017;Torupilli;65;51;1,274509804
01/07/2017;Ülemiste;2;340;0,005882353
01/07/2017;ÜlemisteJärve;1;1396;0,000716332
01/07/2017;Uus Maailm;40;65;0,615384615
01/07/2017;Uuslinn;1;22;0,045454545
