long;lat;order;hole;piece;id
534520,6379;6590192,771;291;FALSE;1;Õismäe
534529,861;6590188,849;292;FALSE;1;Õismäe
534543,361;6590182,93;293;FALSE;1;Õismäe
534553,45;6590179,017;294;FALSE;1;Õismäe
534560,286;6590176,365;295;FALSE;1;Õismäe
534561,2446;6590176,013;296;FALSE;1;Õismäe
534567,7669;6590173,62;297;FALSE;1;Õismäe
534570,705;6590172,542;298;FALSE;1;Õismäe
534573,819;6590171,399;299;FALSE;1;Õismäe
534585,541;6590167,098;300;FALSE;1;Õismäe
534597,4679;6590164,452;301;FALSE;1;Õismäe
534602,025;6590163,441;302;FALSE;1;Õismäe
534604,1046;6590162,933;303;FALSE;1;Õismäe
534622,3389;6590158,482;304;FALSE;1;Õismäe
534624,324;6590157,997;305;FALSE;1;Õismäe
534625,3046;6590157,755;306;FALSE;1;Õismäe
534650,076;6590151,643;307;FALSE;1;Õismäe
534657,588;6590150,017;308;FALSE;1;Õismäe
534669,158;6590147,512;309;FALSE;1;Õismäe
534670,341;6590147,192;310;FALSE;1;Õismäe
534685,193;6590143,169;311;FALSE;1;Õismäe
534700,548;6590138,2;312;FALSE;1;Õismäe
534711,0425;6590133,667;313;FALSE;1;Õismäe
534711,451;6590133,49;314;FALSE;1;Õismäe
534716,2135;6590131,69;315;FALSE;1;Õismäe
534723,541;6590128,921;316;FALSE;1;Õismäe
534725,6796;6590128,18;317;FALSE;1;Õismäe
534732,436;6590125,838;318;FALSE;1;Õismäe
534737,326;6590124,143;319;FALSE;1;Õismäe
534747,09;6590119,772;320;FALSE;1;Õismäe
534748,423;6590119,175;321;FALSE;1;Õismäe
534757,662;6590115,291;322;FALSE;1;Õismäe
534760,153;6590114,244;323;FALSE;1;Õismäe
534769,01;6590110,784;324;FALSE;1;Õismäe
534776,658;6590107,797;325;FALSE;1;Õismäe
534783,6404;6590105,354;326;FALSE;1;Õismäe
534784,364;6590105,101;327;FALSE;1;Õismäe
534791,877;6590102,472;328;FALSE;1;Õismäe
534802,758;6590099,075;329;FALSE;1;Õismäe
534806,01;6590097,399;330;FALSE;1;Õismäe
534808,519;6590096,711;331;FALSE;1;Õismäe
534810,297;6590096,477;332;FALSE;1;Õismäe
534811,696;6590095,936;333;FALSE;1;Õismäe
534812,226;6590095,016;334;FALSE;1;Õismäe
534812,549;6590091,256;335;FALSE;1;Õismäe
534812,9945;6590090,106;336;FALSE;1;Õismäe
534813,433;6590088,973;337;FALSE;1;Õismäe
534814,731;6590087,629;338;FALSE;1;Õismäe
534818,432;6590085,487;339;FALSE;1;Õismäe
534827,339;6590081,563;340;FALSE;1;Õismäe
534834,0715;6590078,456;341;FALSE;1;Õismäe
534840,922;6590075,295;342;FALSE;1;Õismäe
534861,764;6590063,152;343;FALSE;1;Õismäe
534879,75;6590054,035;344;FALSE;1;Õismäe
534890,126;6590047,848;345;FALSE;1;Õismäe
534895,511;6590044,87;346;FALSE;1;Õismäe
534898,118;6590043,428;347;FALSE;1;Õismäe
534905,852;6590040,934;348;FALSE;1;Õismäe
546983,7931;6588394,073;1961;FALSE;1;Ülemiste
546949,9305;6588363,326;1962;FALSE;1;Ülemiste
546929,3383;6588335,838;1963;FALSE;1;Ülemiste
546888,4019;6588262,773;1964;FALSE;1;Ülemiste
546885,4095;6588237,323;1965;FALSE;1;Ülemiste
546889,3427;6588162,724;1966;FALSE;1;Ülemiste
546904,3663;6588095,513;1967;FALSE;1;Ülemiste
546909,5845;6588077,823;1968;FALSE;1;Ülemiste
546922,7209;6588040,642;1969;FALSE;1;Ülemiste
546946,8943;6587972,231;1970;FALSE;1;Ülemiste
546939,6643;6587969,671;1971;FALSE;1;Ülemiste
547005,4549;6587768,247;1972;FALSE;1;Ülemiste
547012,4779;6587693,888;1973;FALSE;1;Ülemiste
546979,2729;6587634,801;1974;FALSE;1;Ülemiste
546950,7109;6587610,994;1975;FALSE;1;Ülemiste
546902,9093;6587585,239;1976;FALSE;1;Ülemiste
546822,3291;6587573,777;1977;FALSE;1;Ülemiste
546510,3047;6587487,506;1978;FALSE;1;Ülemiste
546504,5903;6587436,367;1979;FALSE;1;Ülemiste
546505,6793;6587316,158;1980;FALSE;1;Ülemiste
546522,1791;6587316,327;1981;FALSE;1;Ülemiste
546521,4485;6587310,377;1982;FALSE;1;Ülemiste
546504,4337;6587142,991;1983;FALSE;1;Ülemiste
546490,2039;6587145,132;1984;FALSE;1;Ülemiste
546489,4935;6587139,772;1985;FALSE;1;Ülemiste
546486,3113;6587115,843;1986;FALSE;1;Ülemiste
546485,6509;6587110,883;1987;FALSE;1;Ülemiste
546483,9799;6587098,233;1988;FALSE;1;Ülemiste
546483,3193;6587093,283;1989;FALSE;1;Ülemiste
546480,3173;6587070,714;1990;FALSE;1;Ülemiste
546479,6569;6587065,754;1991;FALSE;1;Ülemiste
546477,9759;6587053,104;1992;FALSE;1;Ülemiste
546476,6649;6587043,194;1993;FALSE;1;Ülemiste
546474,9839;6587030,545;1994;FALSE;1;Ülemiste
546473,6729;6587020,635;1995;FALSE;1;Ülemiste
546471,9919;6587007,985;1996;FALSE;1;Ülemiste
546469,8403;6586991,756;1997;FALSE;1;Ülemiste
546467,1783;6586967,876;1998;FALSE;1;Ülemiste
546464,3961;6586944,657;1999;FALSE;1;Ülemiste
546454,2997;6586871,479;2000;FALSE;1;Ülemiste
546449,6961;6586830,329;2001;FALSE;1;Ülemiste
546447,2149;6586803,72;2002;FALSE;1;Ülemiste
546837,08;6586298,17;2003;FALSE;1;Ülemiste
546589,06;6586102,4;2004;FALSE;1;Ülemiste
546589,0579;6586102,398;2005;FALSE;1;Ülemiste
546580,76;6586093,03;2006;FALSE;1;Ülemiste
546527,59;6586032,99;2007;FALSE;1;Ülemiste
546514,7033;6586018,244;2008;FALSE;1;Ülemiste
546514,7;6586018,24;2009;FALSE;1;Ülemiste
546321,6301;6586206,05;2010;FALSE;1;Ülemiste
546302,47;6586221,65;2011;FALSE;1;Ülemiste
546282,4174;6586236,125;2012;FALSE;1;Ülemiste
546277,77;6586239,48;2013;FALSE;1;Ülemiste
