qtr_year;region;total_count;region_area;tran_p_ha
1.10.2015;Sõjamäe;2;747;0,002677376
1.10.2015;Südalinn;2;25;0,08
1.10.2015;Tatari;11;22;0,5
1.10.2015;Tiskre;11;139;0,079136691
1.10.2015;Tondi;26;133;0,195488722
1.10.2015;Tõnismäe;4;22;0,181818182
1.10.2015;Torupilli;20;51;0,392156863
1.10.2015;Ülemiste;7;340;0,020588235
1.10.2015;Uus Maailm;41;65;0,630769231
1.10.2015;Uuslinn;5;22;0,227272727
1.10.2015;Väike-Õismäe;116;218;0,532110092
1.10.2015;Vanalinn;27;110;0,245454545
1.10.2015;Veerenni;28;92;0,304347826
1.01.2016;Astangu;36;207;0,173913043
1.01.2016;Haabersti;7;97;0,072164948
1.01.2016;Hiiu;7;263;0,02661597
1.01.2016;Järve;9;105;0,085714286
1.01.2016;Juhkentali;11;130;0,084615385
1.01.2016;Kadaka;122;281;0,434163701
1.01.2016;Kadriorg;37;256;0,14453125
1.01.2016;Kakumäe;2;251;0,007968127
1.01.2016;Kalamaja;84;210;0,4
1.01.2016;Karjamaa;27;97;0,278350515
1.01.2016;Kassisaba;29;45;0,644444444
1.01.2016;Katleri;17;38;0,447368421
1.01.2016;Keldrimäe;23;35;0,657142857
1.01.2016;Kelmiküla;9;21;0,428571429
1.01.2016;Kitseküla;28;140;0,2
1.01.2016;Kivimäe;4;222;0,018018018
1.01.2016;Kompassi;13;16;0,8125
1.01.2016;Kopli;32;282;0,113475177
1.01.2016;Kose;9;346;0,026011561
1.01.2016;Kurepõllu;19;68;0,279411765
1.01.2016;Kuristiku;33;84;0,392857143
1.01.2016;Laagna;79;136;0,580882353
1.01.2016;Laagri;2;41;0,048780488
1.01.2016;Laiaküla;2;159;0,012578616
1.01.2016;Lepiku;4;162;0,024691358
1.01.2016;Liiva;1;264;0,003787879
1.01.2016;Lilleküla;137;546;0,250915751
1.01.2016;Loopealse;20;57;0,350877193
1.01.2016;Maakri;15;13;1,153846154
1.01.2016;Maarjamäe;11;155;0,070967742
1.01.2016;Mähe;13;282;0,046099291
1.01.2016;Männiku;25;447;0,055928412
1.01.2016;Merivälja;2;163;0,012269939
1.01.2016;Mustakivi;54;116;0,465517241
1.01.2016;Mustamäe;223;441;0,505668934
1.01.2016;Mustjõe;7;179;0,039106145
1.01.2016;Nõmme;13;480;0,027083333
1.01.2016;Õismäe;2;178;0,011235955
1.01.2016;Pääsküla;33;661;0,049924357
1.01.2016;Pae;44;58;0,75862069
1.01.2016;Paevälja;8;119;0,067226891
1.01.2016;Paljassaare;3;395;0,007594937
1.01.2016;Pelgulinn;85;238;0,357142857
1.01.2016;Pelguranna;60;100;0,6
1.01.2016;Pikaliiva;45;447;0,100671141
1.01.2016;Pirita;1;173;0,005780347
1.01.2016;Priisle;31;185;0,167567568
1.01.2016;Rahumäe;2;162;0,012345679
1.01.2016;Raua;27;31;0,870967742
1.01.2016;Raudalu;1;180;0,005555556
1.01.2016;Sääse;53;61;0,868852459
1.01.2016;Sadama;21;139;0,151079137
1.01.2016;Seli;48;95;0,505263158
1.01.2016;Sibulaküla;12;13;0,923076923
1.01.2016;Siili;13;26;0,5
1.01.2016;Sikupilli;90;135;0,666666667
1.01.2016;Sitsi;30;45;0,666666667
1.01.2016;Südalinn;1;25;0,04
1.01.2016;Tatari;11;22;0,5
